id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item,product_name,brand_id,brand_name
84566545,3448170956202,Ổ cắm đa năng USB Nakagami công nghệ Nhật Bản. Sản phẩm ổ cắm điện Nakagami có thiết kế kiểu dáng nhỏ gọn có thể sử dụng đa năng cho nhiều vị trí trong gia đình bạn. Thiết kế bao gồm 2 lỗ cắm USB và ...,149000,155000,,6000,4,712,,available,,1000,,290071,Nakagami
71890908,5955369732589,Bộ lau nhà là vật dụng cần thiết cho mỗi gia đình. Sản phẩm Bộ lau nhà xoay 360 độ SUNHOUSE KS-CL330S bao gồm một thùng giặt có chứa lồng vắt và 1 cây lau. Với điểm nhấn là bộ tạo chuyển động 360 độ ...,288000,412000,,124000,30,123,,available,,1000,,41048,Sunhouse
2119173,3784672643501,"Cây Lau Nhà Dạng Xịt Nước Lock&Lock ETM472 thiết kế cây lau nhà dạn đứng với thiết kế tay cầm có cần gạt để điểu khiển việc phun nước, giúp dễ thao tác, tạo cảm giác thoải mái khi sử dụng.Lượng ...",289000,539000,,250000,46,70,,available,,1000,,48077,Lock&Lock
124039564,3390954218550,Mô Tả Sản Phẩm- Chiều cao phần ghế ngồi: 37~57cm- Diện tích ghế ngồi: 38x43cm- Diện tích tựa lưng: 41x32cm- Ghế có chân trụ kép chữ T chắc chắn được phủ sơn tĩnh điện hạn chế khả năng xuống cấp- ...,1034100,1149000,,114900,10,23,,available,,1000,,4250493,pehouse
71005991,4926834184111,Bình Xịt Dầu Ăn Thuỷ Tinh là dụng cụ nhà bếp hữu ích và cần thiết cho các bà nội trợ trong quá trình nấu nướng bởi nó giúp bạn căn được lượng dầu ăn mình sẽ sử dụng cho món ăn.Hoặc là khi nướng thức ...,157000,174000,,17000,10,827,,available,,1000,,48077,Lock&Lock
70656791,6725962688458,Loại sản phẩm: Giấy ănChất liệu: Bột treThành phần: 100% bột sợi tre nguyên chất...,125000,125000,,0,0,2017,,available,,1000,,863033,ycool
101592040,3767496484399,"Bình thủy tinh đựng nước saffron Kingdom cao cấp, chai thủy tinh có nắp đậy và dây xách tiện lợi - 500ml* Thông tin bình nước thủy tinh saffron Kingdom:- Dung tích: 500ml- Chất liệu: Thủy tinh, mặt k...",11000,11000,,0,0,6,,available,,1000,,111461,OEM
90184964,9540131693859, Gỗ thông mới nhập khẩu: gỗ thông mặt rộng 14cm x dày 2cm x láng mịn 4 mặt Số lượng: 1 tấm gỗ thông mới: Dài 120cm x mặt rộng 14cm x độ dày 2cm + gỗ được xử lý láng mịn 4 mặt--------------         ...,71000,71000,,0,0,3,,available,,1000,,111461,OEM
127031393,9115457631995,Ca nước giữ nhiệt LocknLock Metro Mug LHC4219 với lớp sơn tĩnh điện bền chắc và chất liệu thép không gỉ hợp vệ sinhDễ dàng mở với nắp xoay Swing capDễ chùi rửa với miệng ca rộngGiữ ca cố định ...,263000,506000,,243000,48,15,,available,,1000,,48077,Lock&Lock
66621525,4346411826959," Bình Giữ Nhiệt Lock&Lock Two-tone Clip Tumbler mang đến cho bạn cảm giác thoải mái, vui vẻ khi có thể vừa lái xe vừa uống trà hoặc cà phê nóng trên đường đến công sở trong bu...",269000,506000,,237000,47,147,,available,,1000,,48077,Lock&Lock
138952791,9707055524901,"Móc dán tường treo cây lau nhà siêu chịu lực Parroti Keeper KP03 là sản phẩm tiện ích giúp cho không gian nhà bạn gọn gàng và ngăn nắp hơn, miếng dán chắc chắn và dính trên mọi loại bề mặt sà...",21900,42000,,20100,48,163,,available,,1000,,746615,Parroti
42241386,4790976332682,"Kích thước : đường kính 6cm x12cmTính năng sản phẩm:Chai Thủy Tinh được sản xuất từ nguyên liệu thủy tinh trắng trong suốt, dày, rắn chắc, không tạp chất và độ bền cao đảm bảo an toàn cho gia đình....",54500,54500,,0,0,12,,available,,1000,,111461,OEM
80617683,4960125573004, Chảo chiên Tefal Light & Clean 26cmDÙNG CHO BẾP GAS/ BẾP HỒNG NGOẠIKHÔNG TƯƠNG THÍCH VỚI BẾP ĐIỆN TỪ Click gia nhập TEFAL CLUB ngay để được cập nhật nhiều thông tin hấp dẫn như cách đăng k...,205000,399000,,194000,49,916,,available,,1000,,19813,Tefal
162526068,6998997139077,"Đất trồng cây hữu cơ Soilmix, giá thể sạch trồng sen đá, hoa hồng, cây cảnh, chứa phân bón vi sinh, trichoderma, perliteThông tin sản phẩm: Đất trồng cây Soilmix là hỗn hợp đất trồng cây được phối t...",50000,50000,,0,0,18,,available,,1000,,520061,Monrovia
17593518,7271078876801,"Bộ Hộp Cơm Giữ Nhiệt Thép Không Gỉ Lock & Lock LHC8031SLV-OCH - Bạc Gồm 3 hộp: 1 Hộp cơm 460ml, 1 hộp thức ăn 420ml và 1 hộp 280ml, 1 túi đựng, 1 đôi đũaThiết kế sang trọng, đường nét...",694000,1285000,,591000,46,80,,available,,1000,,48077,Lock&Lock
189297713,6237974161761,- Gỗ thông mới nhập khẩu: gỗ thông 4cm x 8cm + gia công láng mịn 4 mặt- Số lượng: 1 thanh gỗ thông mới: Dài 120cm x mặt rộng 8cm x độ dày 4cm + láng mịn 4 mặt--------------- Gỗ thông được đánh giá ...,81000,81000,,0,0,0,,available,,1000,,111461,OEM
